name,artist_wiki_references,artist_wiki_links,artist_categories,artist_most_common_nationality
lyonel feininger ,70,98,"1871 births, 1956 deaths, 20th-century American male artists, 20th-century American painters, 20th-century German painters, Academic staff of the Bauhaus, Académie Colarossi alumni, American caricaturists, American comic strip cartoonists, American comics artists, American illustrators, American male painters, American people of German descent, Articles with AAG identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with Internet Archive links, Articles with J9U identifiers, Articles with KBR identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with MoMA identifiers, Articles with Musée d'Orsay identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NLK identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PIC identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RISM identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Black Mountain College faculty, CS1 German-language sources (de), Chicago Tribune people, Commons category link is on Wikidata, German caricaturists, German comics artists, German illustrators, German male painters, Members of the American Academy of Arts and Letters, Mills College faculty, Modern painters, Painters from New York City, Short description is different from Wikidata, Wikipedia external links cleanup from December 2016, Wikipedia spam cleanup from December 2016",American
paolo scheggi ,25,85,"1940 births, Articles containing German-language text, Articles containing Serbian-language text, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Trieste, Italian contemporary artists, Living people, No local image but image on Wikidata, Op art, Short description is different from Wikidata",German
joel shapiro ,38,32,"1941 births, American printmakers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with PIC identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, Artists from New York City, Commons category link is on Wikidata, Living people, Members of the American Academy of Arts and Letters, Members of the Royal Swedish Academy of Arts, Peace Corps volunteers, Sculptors from New York (state), Short description is different from Wikidata, Steinhardt School of Culture, Education, and Human Development alumni, Webarchive template wayback links",American
georges rouault ,23,63,"1871 births, 1958 deaths, 19th-century French male artists, 19th-century French painters, 20th-century French male artists, 20th-century French painters, 20th-century French printmakers, All articles lacking in-text citations, Articles lacking in-text citations from August 2016, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Ballet designers, Ballets designed by Georges Rouault, Burials at the Cemetery of Saint-Louis, Versailles, Commons category link is on Wikidata, Fauvism, French Expressionist painters, French Roman Catholics, French male painters, Painters from Paris, Short description is different from Wikidata, Webarchive template wayback links",French
norman bluhm ,33,29,"1921 births, 1999 deaths, 20th-century American male artists, 20th-century American painters, Abstract expressionist artists, Abstract painters, American male painters, Art Informel and Tachisme painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Chicago, Short description is different from Wikidata, United States Army Air Forces personnel of World War II",American
herman berserik ,8,40,"1921 births, 2002 deaths, 20th-century Dutch male artists, 20th-century Dutch painters, Articles with BPN identifiers, Articles with Dutch-language sources (nl), Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Artists from The Hague, Dutch male painters, Royal Academy of Art, The Hague alumni, Short description is different from Wikidata",Dutch
li yanshan ,4,40,"1898 births, 1961 deaths, Articles containing Chinese-language text, Articles with hCards, CS1 Chinese-language sources (zh), CS1 uses Chinese-language script (zh), Chinese art educators, Hong Kong painters, National University of Peking alumni, Republic of China calligraphers, Republic of China painters",Chinese
"john william godward, r.b.a. ",29,26,"1861 births, 1922 deaths, 1922 suicides, 19th-century English male artists, 19th-century English painters, 20th-century English male artists, 20th-century English painters, All articles lacking reliable references, All articles with specifically marked weasel-worded phrases, All articles with unsourced statements, Articles lacking reliable references from March 2022, Articles with AAG identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with MusicBrainz identifiers, Articles with Musée d'Orsay identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with specifically marked weasel-worded phrases from December 2018, Articles with unsourced statements from December 2020, Burials at Brompton Cemetery, Commons category link is on Wikidata, English male painters, Neo-Pompeian painters, Painters who committed suicide, People of the Victorian era, Short description is different from Wikidata, Suicides in Fulham, Use British English from October 2019, Use dmy dates from October 2019",English
auguste rodin ,102,303,"1840 births, 1917 deaths, 19th-century French sculptors, 20th-century French sculptors, All articles needing additional references, All articles with incomplete citations, All articles with unsourced statements, Articles containing French-language text, Articles incorporating Cite DNB template, Articles needing additional references from November 2022, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FNZA identifiers, Articles with GND identifiers, Articles with Internet Archive links, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with LibriVox links, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with incomplete citations from November 2013, Articles with short description, Articles with unsourced statements from February 2019, Articles with unsourced statements from November 2022, Artists from Paris, Auguste Rodin, Biography with signature, CS1: Julian–Gregorian uncertainty, Commons link is on Wikidata, French male sculptors, French printmakers, Good articles, Grand Officiers of the Légion d'honneur, Modern sculptors, People of the French Third Republic, People of the July Monarchy, Short description is different from Wikidata, Use dmy dates from May 2022",French
augusto giacometti ,34,33,"1877 births, 1947 deaths, 19th-century Swiss painters, 19th-century male artists, 20th-century Swiss painters, 20th-century male artists, Alberto Giacometti, All articles needing additional references, Articles needing additional references from February 2010, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with HDS identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with Musée d'Orsay identifiers, Articles with NKC identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SIKART identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, CS1 French-language sources (fr), CS1 German-language sources (de), CS1 Italian-language sources (it), Commons category link is on Wikidata, Short description is different from Wikidata, Stained glass artists and manufacturers, Swiss male painters, Webarchive template wayback links, Zurich University of the Arts alumni",Swiss
théo tobiasse ,12,34,"1927 births, 2012 deaths, 20th-century French Jews, 20th-century French painters, 21st-century French Jews, 21st-century French painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, French people of Lithuanian-Jewish descent, Jewish painters, People from Jaffa, Short description matches Wikidata",French
amedeo modigliani ,82,208,"1884 births, 1920 deaths, 19th-century Italian painters, 19th-century sculptors, 20th-century Italian Jews, 20th-century Italian painters, 20th-century Sephardi Jews, 20th-century deaths from tuberculosis, 20th-century sculptors, 20th-century squatters, Académie Colarossi alumni, All articles needing additional references, All articles with dead external links, All articles with unsourced statements, Amedeo Modigliani, Articles needing additional references from July 2017, Articles needing additional references from November 2021, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DBI identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with dead external links from September 2018, Articles with hCards, Articles with short description, Articles with unsourced statements from April 2010, Articles with unsourced statements from November 2009, Articles with unsourced statements from November 2021, Burials at Père Lachaise Cemetery, CS1 Italian-language sources (it), CS1 errors: bare URL, CS1 errors: missing title, Commons link from Wikidata, Drug-related deaths in France, Italian Sephardi Jews, Italian expatriates in France, Italian male painters, Italian male sculptors, Italian sculptors, Jewish artists, Jewish painters, Livornese Jews, Modern painters, Modern sculptors, Painters from Tuscany, People of Montmartre, School of Paris, Short description matches Wikidata, Tuberculosis deaths in France, Use dmy dates from May 2020, Webarchive template wayback links",Italian
andré lanskoy ,19,26,"1902 births, 1976 deaths, 20th-century French male artists, 20th-century French painters, All articles needing additional references, Art Informel and Tachisme painters, Articles needing additional references from January 2012, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Burials at Sainte-Geneviève-des-Bois Russian Cemetery, French male painters, Modern painters, School of Paris, Short description is different from Wikidata, White Russian emigrants to France",French
"charles frederick tunnicliffe, r.a. ",36,79,"1901 births, 1979 deaths, 20th-century British printmakers, 20th-century British zoologists, 20th-century English male artists, 20th-century English painters, 20th-century engravers, Alumni of the Royal College of Art, Articles using small message boxes, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with CINII identifiers, Articles with DSI identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with Libris identifiers, Articles with NDL identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, British bird artists, British illustrators, English illustrators, English male painters, English ornithologists, English wood engravers, EngvarB from February 2017, Incomplete lists from August 2008, Officers of the Order of the British Empire, People from Anglesey, People from Macclesfield, Royal Academicians, Short description is different from Wikidata, Use dmy dates from February 2017, Webarchive template wayback links",British
albert lebourg ,28,67,"1849 births, 1928 deaths, 19th-century French male artists, 19th-century French painters, 20th-century French male artists, 20th-century French painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with French-language sources (fr), Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Chevaliers of the Légion d'honneur, Commons category link is on Wikidata, French landscape painters, French male painters, Impressionist artists, Modern painters, Officiers of the Légion d'honneur, People from Bernay, Eure, Post-Impressionist artists, Recipients of the Legion of Honour, Short description is different from Wikidata, Webarchive template wayback links",French
dia al-azzawi ,30,25,"1939 births, 20th-century Iraqi painters, 21st-century Iraqi painters, 21st-century sculptors, Abstract painters, All articles with unsourced statements, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Articles with unsourced statements from August 2022, Artists from Baghdad, Iraqi calligraphers, Iraqi contemporary artists, Living people, Short description matches Wikidata, War artists",Iraqi
hamed nada ,16,13,"1956 births, 20th-century French women, Articles with VIAF identifiers, Articles with hCards, College of Fine Arts in Cairo alumni, Emirati contemporary artists, Emirati expatriates in Egypt, Emirati painters, Emirati women artists, French artists, French women artists, Living people, People from Dubai",French
abraham hulk ,14,18,"1813 births, 1897 deaths, 19th-century English male artists, 19th-century English painters, Articles with BPN identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Commons category link is on Wikidata, Dutch male painters, Dutch marine artists, Dutch painters, English male painters, Painters from London, Short description is different from Wikidata, Use British English from August 2015, Use dmy dates from August 2015",Dutch
ellsworth kelly ,125,350,"1923 births, 2015 deaths, 20th-century American male artists, 20th-century American painters, 20th-century American printmakers, 20th-century American sculptors, 21st-century American male artists, 21st-century American painters, 21st-century American sculptors, Abstract painters, All articles with dead external links, All articles with unsourced statements, American LGBT military personnel, American LGBT painters, American LGBT sculptors, American abstract artists, American contemporary painters, American gay artists, American male painters, American male sculptors, Articles with AAG identifiers, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with LNB identifiers, Articles with Libris identifiers, Articles with MoMA identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with National Gallery of Canada identifiers, Articles with PIC identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with Städel identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with dead external links from January 2018, Articles with hCards, Articles with permanently dead external links, Articles with short description, Articles with unsourced statements from December 2015, Chevaliers of the Légion d'honneur, Commons category link from Wikidata, Gay military personnel, Gay painters, Gay sculptors, Honorary Members of the Royal Academy, LGBT people from New York (state), Minimalist artists, People from Newburgh, New York, People from Oradell, New Jersey, Pratt Institute alumni, Recipients of the Praemium Imperiale, Short description is different from Wikidata, Skowhegan School of Painting and Sculpture alumni, United States Army personnel of World War II, United States National Medal of Arts recipients, Webarchive template wayback links",American
"john hoyland, r.a. ",51,39,"1934 births, 2011 deaths, 20th-century English male artists, 20th-century English painters, 21st-century English male artists, 21st-century English painters, Abstract painters, All articles covered by WikiProject Wikify, All articles with bare URLs for citations, Articles covered by WikiProject Wikify from September 2022, Articles needing cleanup from September 2022, Articles with AAG identifiers, Articles with AGSA identifiers, Articles with BIBSYS identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NGV identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with bare URLs for citations from September 2022, Articles with hCards, Articles with short description, Artists from Sheffield, English contemporary artists, English male painters, Modern artists, People educated at Leighton Park School, Royal Academicians, Short description is different from Wikidata, Use dmy dates from April 2022, Webarchive template wayback links",English
charles ephraim burchfield ,43,80,"1893 births, 1967 deaths, 20th-century American painters, American male painters, American watercolorists, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with MusicBrainz identifiers, Articles with NKC identifiers, Articles with NLG identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Charles Burchfield, Cleveland School (arts community), Members of the American Academy of Arts and Letters, People from Ashtabula, Ohio, People from Salem, Ohio, Short description is different from Wikidata",American
gustave caillebotte ,28,171,"1848 births, 1894 deaths, 19th-century French lawyers, 19th-century French male artists, 19th-century French painters, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Burials at Père Lachaise Cemetery, Commons link from Wikidata, Deaths from pulmonary edema, Fathers of philately, French Impressionist painters, French engineers, French male painters, French military personnel of the Franco-Prussian War, Painters from Paris, Short description matches Wikidata, Webarchive template wayback links",French
chen hongshou ,20,31,"1598 births, 1652 deaths, 17th-century Chinese painters, Articles containing Chinese-language text, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with NDL identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with NTA identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Artists from Shaoxing, Buddhist artists, Chinese portrait painters, Commons category link is on Wikidata, Ming dynasty painters, Painters from Zhejiang, People from Zhuji",Chinese
zhang shanzi ,56,73,"1899 births, 1983 deaths, 20th-century Chinese male artists, Academic staff of Nanjing University, Academic staff of the National Central University, Art forgers, Articles containing Chinese-language text, Articles containing traditional Chinese-language text, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CINII identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with NDL identifiers, Articles with NLA identifiers, Articles with NLK identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Buddhist artists, CS1 Chinese-language sources (zh), Chinese male painters, Educators from Sichuan, No local image but image on Wikidata, Pages using infobox person with multiple spouses, Painters from Sichuan, People from Neijiang, Recipients of the Order of Chiang Chung-Cheng, Republic of China painters, Taiwanese people from Sichuan, Use dmy dates from March 2017",Chinese
nicolaes maes ,21,71,"1634 births, 1693 deaths, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with BPN identifiers, Articles with DTBIO identifiers, Articles with Dutch-language sources (nl), Articles with GND identifiers, Articles with KULTURNAV identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Artists from Dordrecht, Commons link is defined as the pagename, Dutch Golden Age painters, Dutch genre painters, Dutch male painters, Dutch portrait painters, Pupils of Rembrandt, Short description is different from Wikidata",Dutch
manjit bawa ,35,24,"1941 births, 2008 deaths, 20th-century Indian male artists, 20th-century Indian painters, All Wikipedia articles written in Indian English, All articles needing additional references, Articles needing additional references from January 2008, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NTA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Indian male painters, Painters from Punjab, India, People from Sangrur, Use Indian English from April 2018, Use dmy dates from April 2018",Indian
"john bratby, r.a. ",4,98,"Art collections in the United Kingdom, Art museum collections, English sculpture, Official website different in Wikidata and Wikipedia, Sculpture collections, Use dmy dates from April 2022",
jonas wood ,31,72,"1977 births, 21st-century American male artists, 21st-century American painters, American contemporary painters, American male painters, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with SUDOC identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, Artists from Boston, Hobart and William Smith Colleges alumni, Living people, Short description is different from Wikidata, University of Washington alumni, Use mdy dates from August 2016",American
bernard aubertin ,31,17,"1934 births, 2015 deaths, 20th-century French male artists, 20th-century French painters, 21st-century French male artists, 21st-century French painters, All articles with dead external links, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with dead external links from June 2020, Articles with hCards, Articles with permanently dead external links, Articles with short description, CS1 French-language sources (fr), French contemporary artists, French male painters, Modern painters, Short description is different from Wikidata, Webarchive template wayback links",French
mary cassatt ,97,1082,"1844 births, 1926 deaths, 19th-century American painters, 19th-century American women artists, 20th-century American painters, 20th-century American women artists, American Impressionist painters, American blind people, American expatriates in France, American portrait painters, American printmakers, American women painters, American women printmakers, Articles with AGSA identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with French-language sources (fr), Articles with GND identifiers, Articles with LCCN identifiers, Articles with NGV identifiers, Articles with NLA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with Trove identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with hCards, Articles with short description, Artists from Pittsburgh, Biography with signature, Burials in France, CS1: long volume value, CS1 French-language sources (fr), CS1 maint: others, Chevaliers of the Légion d'honneur, Color engravers, Commons link from Wikidata, Harv and Sfn no-target errors, Painters from Pennsylvania, Pennsylvania Academy of the Fine Arts alumni, Short description matches Wikidata, Use mdy dates from June 2021, Webarchive template wayback links, École des Beaux-Arts alumni",American
victor-jean nicolle ,11,14,"1754 births, 1826 deaths, 18th-century French male artists, 18th-century French painters, 19th-century French male artists, 19th-century French painters, All stub articles, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with DTBIO identifiers, Articles with GND identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with short description, Commons category link from Wikidata, French artist stubs, French male painters, Short description is different from Wikidata",French
ye qianyu ,21,63,"1907 births, 1995 deaths, Academic staff of the Central Academy of Fine Arts, Articles containing Chinese-language text, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with NLK identifiers, Articles with NTA identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Artists from Hangzhou, CS1 Chinese-language sources (zh), CS1 uses Chinese-language script (zh), Chinese comics artists, Chinese magazine editors, Commons category link is on Wikidata, Good articles, Pages using infobox person with multiple spouses, Short description is different from Wikidata, Victims of the Cultural Revolution",Chinese
felix kelly ,39,21,"1914 births, 1994 deaths, All articles with dead external links, Articles with FAST identifiers, Articles with FNZA identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with PLWABN identifiers, Articles with PortugalA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with TePapa identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with dead external links from December 2019, Articles with hCards, Articles with permanently dead external links, Articles with short description, CS1: Julian–Gregorian uncertainty, EngvarB from September 2014, New Zealand expatriates in England, New Zealand illustrators, New Zealand interior designers, New Zealand painters, New Zealand scenic designers, New Zealand surrealist artists, Short description is different from Wikidata, Use dmy dates from September 2014",
peter kinley ,15,5,"1926 births, 1988 deaths, Academics of Saint Martin's School of Art, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with FAST identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with RKDartists identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, Articles with short description, British artists, Jewish emigrants from Austria to the United Kingdom after the Anschluss, Kindertransport refugees, Short description matches Wikidata, Use dmy dates from April 2022",British
emilio vedova ,32,33,"1919 births, 2006 deaths, 20th-century Italian male artists, 20th-century Italian painters, 21st-century Italian male artists, 21st-century Italian painters, Academic staff of the Accademia di Belle Arti di Venezia, Articles with BIBSYS identifiers, Articles with BNE identifiers, Articles with BNF identifiers, Articles with BNFdata identifiers, Articles with CANTICN identifiers, Articles with CINII identifiers, Articles with DBI identifiers, Articles with DTBIO identifiers, Articles with FAST identifiers, Articles with GND identifiers, Articles with ICCU identifiers, Articles with ISNI identifiers, Articles with J9U identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with NKC identifiers, Articles with NLA identifiers, Articles with NSK identifiers, Articles with NTA identifiers, Articles with PLWABN identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with VcBA identifiers, Articles with WorldCat identifiers, Articles with hCards, Articles with short description, Italian contemporary artists, Italian male painters, Short description is different from Wikidata, Use dmy dates from July 2013",Italian
pedro coronel ,13,435,"1922 births, 1985 deaths, 20th-century Mexican male artists, 20th-century Mexican painters, 20th-century Mexican sculptors, Articles with FAST identifiers, Articles with GND identifiers, Articles with ISNI identifiers, Articles with LCCN identifiers, Articles with MoMA identifiers, Articles with RKDartists identifiers, Articles with SNAC-ID identifiers, Articles with SUDOC identifiers, Articles with ULAN identifiers, Articles with VIAF identifiers, Articles with WorldCat identifiers, CS1 Spanish-language sources (es), Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda"" alumni, Mexican male painters, People from Zacatecas City",Mexican
